Date,Open,High,Low,Close ,Adj Close ,Volume
11-Jun-25,"8,275.00","8,425.00","8,150.00","8,300.00","8,300.00","7,869,300"
10-Jun-25,"8,150.00","8,250.00","8,125.00","8,200.00","8,200.00","7,197,900"
5-Jun-25,"8,200.00","8,275.00","8,100.00","8,150.00","8,150.00","10,392,100"
4-Jun-25,"7,950.00","8,225.00","7,875.00","8,225.00","8,225.00","19,738,900"
3-Jun-25,"7,675.00","7,875.00","7,650.00","7,825.00","7,825.00","8,012,300"
2-Jun-25,"7,925.00","7,950.00","7,650.00","7,675.00","7,675.00","9,732,500"
28-May-25,"7,900.00","7,950.00","7,775.00","7,875.00","7,875.00","13,336,000"
27-May-25,"7,875.00","7,900.00","7,825.00","7,875.00","7,875.00","5,098,100"
26-May-25,"7,850.00","7,900.00","7,825.00","7,850.00","7,850.00","5,293,300"
23-May-25,"7,900.00","7,950.00","7,850.00","7,850.00","7,850.00","5,849,700"
22-May-25,"7,975.00","8,150.00","7,900.00","7,900.00","7,900.00","12,044,100"
21-May-25,"7,875.00","8,025.00","7,875.00","7,975.00","7,975.00","10,053,600"
20-May-25,"8,250.00","8,325.00","7,875.00","7,875.00","7,875.00","12,129,200"
19-May-25,"8,450.00","8,500.00","8,225.00","8,225.00","8,225.00","12,109,700"
16-May-25,"8,200.00","8,475.00","8,125.00","8,450.00","8,450.00","12,696,200"
15-May-25,"7,900.00","8,150.00","7,900.00","8,100.00","8,100.00","10,055,700"
14-May-25,"8,000.00","8,125.00","7,875.00","7,875.00","7,875.00","8,262,400"
9-May-25,"7,775.00","8,000.00","7,700.00","7,975.00","7,975.00","7,224,600"
8-May-25,"7,750.00","7,850.00","7,650.00","7,775.00","7,775.00","8,457,100"
7-May-25,"7,550.00","7,950.00","7,550.00","7,750.00","7,750.00","12,039,700"
6-May-25,"7,675.00","7,775.00","7,525.00","7,525.00","7,525.00","5,787,600"
5-May-25,"7,725.00","7,750.00","7,600.00","7,600.00","7,600.00","4,796,000"
2-May-25,"7,825.00","7,850.00","7,675.00","7,700.00","7,700.00","6,382,300"
30-Apr-25,"7,500.00","8,000.00","7,425.00","8,000.00","8,000.00","12,400,500"
29-Apr-25,"7,425.00","7,525.00","7,425.00","7,500.00","7,500.00","4,792,000"
28-Apr-25,"7,475.00","7,500.00","7,350.00","7,425.00","7,425.00","2,930,700"
25-Apr-25,"7,275.00","7,475.00","7,275.00","7,475.00","7,475.00","5,156,600"
24-Apr-25,"7,300.00","7,325.00","7,150.00","7,250.00","7,250.00","6,334,700"
23-Apr-25,"7,225.00","7,425.00","7,225.00","7,350.00","7,350.00","9,914,800"
22-Apr-25,"7,325.00","7,350.00","7,150.00","7,200.00","7,200.00","5,953,600"
21-Apr-25,"7,275.00","7,375.00","7,150.00","7,350.00","7,350.00","1,676,700"
17-Apr-25,"7,325.00","7,350.00","7,225.00","7,300.00","7,300.00","5,807,700"
16-Apr-25,"7,225.00","7,400.00","7,125.00","7,400.00","7,400.00","4,270,600"
15-Apr-25,"7,200.00","7,300.00","7,125.00","7,300.00","7,300.00","8,352,000"
14-Apr-25,"7,000.00","7,200.00","6,975.00","7,125.00","7,125.00","6,748,100"
11-Apr-25,"6,875.00","7,050.00","6,850.00","6,900.00","6,900.00","5,546,900"
10-Apr-25,"6,925.00","7,100.00","6,850.00","7,075.00","7,075.00","6,975,500"
9-Apr-25,"7,100.00","7,175.00","6,675.00","6,675.00","6,675.00","13,927,700"
8-Apr-25,"6,600.00","7,200.00","6,550.00","7,200.00","7,200.00","18,379,600"
27-Mar-25,"6,925.00","7,150.00","6,900.00","7,100.00","7,100.00","9,073,700"
26-Mar-25,"6,800.00","7,025.00","6,775.00","6,925.00","6,925.00","8,108,100"
