Date,Open,High,Low,Close ,Adj Close ,Volume
11-Jun-25,"10,700.00","10,750.00","10,550.00","10,700.00","10,700.00","5,451,900"
10-Jun-25,"10,700.00","10,750.00","10,500.00","10,650.00","10,650.00","4,733,600"
5-Jun-25,"10,800.00","10,800.00","10,600.00","10,700.00","10,700.00","1,482,700"
4-Jun-25,"10,825.00","10,825.00","10,600.00","10,825.00","10,825.00","3,186,300"
3-Jun-25,"10,800.00","10,850.00","10,600.00","10,625.00","10,625.00","2,685,000"
2-Jun-25,"10,825.00","10,900.00","10,550.00","10,800.00","10,800.00","10,667,100"
28-May-25,"11,200.00","11,225.00","10,900.00","10,900.00","10,900.00","7,578,200"
27-May-25,"11,075.00","11,225.00","10,950.00","11,125.00","11,125.00","4,928,700"
26-May-25,"10,825.00","11,050.00","10,825.00","11,025.00","11,025.00","4,661,200"
23-May-25,"10,850.00","10,900.00","10,800.00","10,825.00","10,825.00","1,811,100"
22-May-25,"10,825.00","11,000.00","10,725.00","10,800.00","10,800.00","3,175,000"
21-May-25,"10,825.00","10,925.00","10,700.00","10,825.00","10,825.00","4,312,500"
20-May-25,"11,050.00","11,075.00","10,750.00","10,750.00","10,750.00","6,391,600"
19-May-25,"11,100.00","11,100.00","10,925.00","10,950.00","10,950.00","5,847,100"
16-May-25,"11,200.00","11,200.00","10,900.00","11,075.00","11,075.00","7,428,000"
15-May-25,"11,175.00","11,475.00","11,050.00","11,050.00","11,050.00","3,943,900"
14-May-25,"11,425.00","11,425.00","11,050.00","11,175.00","11,175.00","5,245,800"
9-May-25,"11,400.00","11,400.00","11,125.00","11,200.00","11,200.00","2,031,000"
8-May-25,"11,200.00","11,400.00","11,100.00","11,400.00","11,400.00","3,008,000"
7-May-25,"11,350.00","11,400.00","11,075.00","11,075.00","11,075.00","4,410,500"
6-May-25,"11,250.00","11,600.00","11,250.00","11,275.00","11,275.00","4,443,700"
5-May-25,"11,050.00","11,325.00","11,050.00","11,200.00","11,200.00","3,839,600"
2-May-25,"11,350.00","11,350.00","10,550.00","11,000.00","11,000.00","10,223,300"
30-Apr-25,"11,250.00","11,350.00","11,050.00","11,350.00","11,350.00","2,335,600"
29-Apr-25,"11,000.00","11,275.00","10,900.00","11,250.00","11,250.00","2,295,500"
28-Apr-25,"11,025.00","11,075.00","10,850.00","11,000.00","11,000.00","1,094,100"
25-Apr-25,"11,100.00","11,150.00","10,900.00","11,000.00","11,000.00","4,395,500"
24-Apr-25,"10,700.00","11,000.00","10,700.00","11,000.00","11,000.00","4,147,600"
23-Apr-25,"10,475.00","10,750.00","10,400.00","10,700.00","10,700.00","7,661,100"
22-Apr-25,"10,550.00","10,550.00","10,450.00","10,475.00","10,475.00","1,806,100"
21-Apr-25,"10,600.00","10,600.00","10,400.00","10,550.00","10,550.00","1,425,200"
17-Apr-25,"10,250.00","10,750.00","10,100.00","10,600.00","10,600.00","7,789,900"
