Date,Open,High,Low,Close ,Adj Close ,Volume
11-Jun-25,1580,1580,1525,1540,,
10-Jun-25,"1,595.00","1,595.00","1,550.00","1,580.00","1,580.00","40,629,100"
5-Jun-25,"1,595.00","1,600.00","1,545.00","1,600.00","1,600.00","34,653,900"
4-Jun-25,"1,550.00","1,600.00","1,525.00","1,600.00","1,600.00","55,364,000"
3-Jun-25,"1,560.00","1,585.00","1,530.00","1,550.00","1,514.00","41,513,300"
2-Jun-25,"1,480.00","1,565.00","1,475.00","1,560.00","1,523.77","62,511,300"
28-May-25,"1,570.00","1,570.00","1,495.00","1,515.00","1,479.81","162,559,500"
27-May-25,"1,540.00","1,570.00","1,525.00","1,570.00","1,533.54","46,620,000"
26-May-25,"1,475.00","1,535.00","1,470.00","1,520.00","1,484.70","44,934,900"
23-May-25,"1,435.00","1,475.00","1,435.00","1,460.00","1,426.09","51,529,300"
22-May-25,"1,520.00","1,525.00","1,440.00","1,440.00","1,406.55","72,142,000"
21-May-25,"1,540.00","1,565.00","1,505.00","1,530.00","1,494.46","41,062,800"
20-May-25,"1,485.00","1,540.00","1,480.00","1,500.00","1,465.16","42,540,900"
19-May-25,"1,500.00","1,505.00","1,455.00","1,455.00","1,421.21","34,073,200"
16-May-25,"1,550.00","1,550.00","1,485.00","1,505.00","1,470.05","32,918,800"
15-May-25,"1,480.00","1,525.00","1,465.00","1,525.00","1,489.58","52,005,200"
14-May-25,"1,450.00","1,510.00","1,440.00","1,480.00","1,445.63","50,685,500"
9-May-25,"1,450.00","1,455.00","1,420.00","1,450.00","1,416.32","32,101,300"
8-May-25,"1,410.00","1,440.00","1,360.00","1,440.00","1,406.55","51,958,600"
7-May-25,"1,430.00","1,440.00","1,385.00","1,405.00","1,372.37","40,719,000"
6-May-25,"1,395.00","1,430.00","1,360.00","1,410.00","1,377.25","39,508,900"
5-May-25,"1,320.00","1,420.00","1,320.00","1,390.00","1,357.72","53,736,700"
2-May-25,"1,340.00","1,355.00","1,315.00","1,315.00","1,284.46","28,583,800"
30-Apr-25,"1,265.00","1,375.00","1,265.00","1,365.00","1,333.30","80,081,900"
29-Apr-25,"1,270.00","1,280.00","1,260.00","1,260.00","1,230.74","18,816,100"
28-Apr-25,"1,250.00","1,290.00","1,235.00","1,260.00","1,230.74","35,812,200"
25-Apr-25,"1,265.00","1,270.00","1,235.00","1,240.00","1,211.20","34,274,700"
24-Apr-25,"1,295.00","1,300.00","1,230.00","1,265.00","1,235.62","43,000,100"
23-Apr-25,"1,215.00","1,280.00","1,215.00","1,280.00","1,250.27","57,924,400"
22-Apr-25,"1,220.00","1,225.00","1,185.00","1,200.00","1,172.13","36,425,000"
21-Apr-25,"1,200.00","1,225.00","1,180.00","1,225.00","1,196.55","27,306,800"
17-Apr-25,"1,255.00","1,260.00","1,185.00","1,200.00","1,172.13","43,557,100"
16-Apr-25,"1,200.00","1,255.00","1,200.00","1,255.00","1,225.85","36,807,400"
15-Apr-25,"1,240.00","1,245.00","1,165.00","1,195.00","1,167.25","62,264,800"
